Feature
1,ENSG00000228172
2,ENSG00000197748
3,ENSG00000171435
4,ENSG00000287646
5,ENSG00000251602
6,ENSG00000183831
7,ENSG00000198785
8,ENSG00000287510
9,ENSG00000234832
10,ENSG00000287117
11,ENSG00000237378
12,ENSG00000184068
13,ENSG00000225334
14,ENSG00000272795
15,ENSG00000106013
16,ENSG00000276509
17,ENSG00000214184
18,ENSG00000278017
19,ENSG00000110723
20,ENSG00000164749
21,ENSG00000237596
22,ENSG00000273711
23,ENSG00000269970
24,ENSG00000260063
25,ENSG00000138650
26,ENSG00000183598
27,ENSG00000227210
28,ENSG00000241313
29,ENSG00000183850
30,ENSG00000260236
31,ENSG00000234917
32,ENSG00000236519
33,ENSG00000278595
34,ENSG00000179564
35,ENSG00000267755
36,ENSG00000188277
37,ENSG00000284830
38,ENSG00000105996
39,ENSG00000187957
40,ENSG00000173338
41,ENSG00000223685
42,ENSG00000226690
43,ENSG00000236377
44,ENSG00000186710
45,ENSG00000255154
46,ENSG00000287007
47,ENSG00000227356
48,ENSG00000285872
49,ENSG00000145217
50,ENSG00000273982
51,ENSG00000272374
52,ENSG00000272940
53,ENSG00000287078
54,ENSG00000204625
55,ENSG00000234183
56,ENSG00000275576
57,ENSG00000275710
58,ENSG00000243224
59,ENSG00000228084
60,ENSG00000186952
61,ENSG00000260751
62,ENSG00000228350
63,ENSG00000287241
64,ENSG00000173947
65,ENSG00000226527
66,ENSG00000248576
67,ENSG00000263884
68,ENSG00000286053
69,ENSG00000267601
70,ENSG00000187288
71,ENSG00000225880
72,ENSG00000116039
73,ENSG00000235272
74,ENSG00000248309
75,ENSG00000233850
76,ENSG00000224739
77,ENSG00000226754
78,ENSG00000185261
79,ENSG00000265342
80,ENSG00000229388
81,ENSG00000272663
82,ENSG00000223392
83,ENSG00000255494
84,ENSG00000187979
85,ENSG00000183632
86,ENSG00000172531
87,ENSG00000165471
88,ENSG00000235513
89,ENSG00000287527
90,ENSG00000007062
91,ENSG00000258700
92,ENSG00000155816
93,ENSG00000260657
94,ENSG00000277763
95,ENSG00000273069
96,ENSG00000287808
97,ENSG00000170537
98,ENSG00000286369
99,ENSG00000283064
100,ENSG00000244265
101,ENSG00000272674
102,ENSG00000254966
103,ENSG00000261653
104,ENSG00000147588
105,ENSG00000129514
106,ENSG00000248243
107,ENSG00000286089
108,ENSG00000271727
109,ENSG00000173207
110,ENSG00000187546
111,ENSG00000255395
112,ENSG00000147724
113,ENSG00000240291
114,ENSG00000259462
115,ENSG00000284650
116,ENSG00000126088
117,ENSG00000146733
118,ENSG00000251161
119,ENSG00000179774
120,ENSG00000286060
121,ENSG00000258708
122,ENSG00000253125
123,ENSG00000179930
124,ENSG00000264968
125,ENSG00000214770
126,ENSG00000277597
127,ENSG00000273143
128,ENSG00000234948
129,ENSG00000287678
130,ENSG00000148483
131,ENSG00000101843
132,ENSG00000287387
133,ENSG00000270800
134,ENSG00000165973
135,ENSG00000225850
136,ENSG00000236432
137,ENSG00000117592
138,ENSG00000234350
139,ENSG00000188649
140,ENSG00000224985
141,ENSG00000263412
142,ENSG00000259511
143,ENSG00000248783
144,ENSG00000231185
145,ENSG00000182199
146,ENSG00000231646
147,ENSG00000103121
148,ENSG00000241860
149,ENSG00000230316
150,ENSG00000237988
